User Path,Num Direct Impressions,Num Indirect Impressions,Impressions Served,Has Converted (1/0 = yes/no),Count
imp (phone) - click (phone) - desktop site (phone),1,12,Direct,1,1
imp (phone) - imp (tablet),58,0,Indirect,0,2
imp (phone) - click (phone) - mobile site (phone),1,0,Indirect,0,4
imp (phone) - click (phone) - desktop site (phone),0,55,Direct,1,2
imp (phone),558,0,Indirect,0,2
imp (phone),498,0,Indirect,0,1
mobile site (other) - desktop site (tablet) - desktop site (computer),0,0,None,1,1
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,13,Direct,1,9
imp (phone) - click (phone) - desktop site (phone),1,4,Direct,1,2
imp (other) - imp (tablet) - imp (phone),208,0,Indirect,0,1
imp (tablet),591,0,Indirect,0,1
imp (other) - imp (phone),14,0,Indirect,0,3
imp (tablet),41,0,Indirect,0,88
imp (other) - imp (phone),2,0,Indirect,0,194
imp (phone) - imp (tablet) - click (phone) - desktop site (phone),1,5,Direct,1,1
imp (phone),541,0,Indirect,0,1
imp (tablet) - imp (phone),8,0,Indirect,0,145
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),5,9,Direct,1,1
imp (tablet),145,0,Indirect,0,4
imp (tablet) - click (tablet) - desktop site (tablet),0,32,Direct,1,6
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (tablet),2,0,Indirect,1,2
imp (phone),109,0,Indirect,0,14
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,8,Direct,1,7
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,24,Direct,1,3
imp (tablet),84,0,Indirect,0,29
imp (tablet),168,0,Indirect,0,9
imp (phone),218,0,Indirect,0,1
imp (tablet),872,0,Indirect,0,1
imp (phone) - imp (other),26,0,Indirect,0,2
imp (tablet) - imp (phone),3,0,Indirect,0,753
imp (phone) - imp (tablet),56,0,Indirect,0,5
imp (phone) - click (phone) - desktop site (phone),2,15,Direct,1,1
imp (phone) - desktop site (phone),0,14,Direct,1,2
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),1,3,Direct,1,1
imp (tablet),251,0,Indirect,0,1
imp (phone) - desktop site (computer),70,0,Indirect,1,1
imp (phone) - imp (tablet) - desktop site (computer) - desktop site (tablet),7,0,Indirect,1,1
imp (tablet),256,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,67,Direct,1,1
imp (phone) - desktop site (phone) - desktop site (computer),12,0,Indirect,1,1
imp (phone) - mobile site (phone) - desktop site (phone),64,0,Indirect,1,1
imp (tablet) - imp (phone),23,0,Indirect,0,17
imp (tablet) - mobile site (phone) - desktop site (phone),3,0,Indirect,1,4
imp (tablet) - imp (phone),66,0,Indirect,0,2
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,22,Direct,1,3
imp (tablet),265,0,Indirect,0,1
imp (tablet) - desktop site (phone),3,0,Indirect,1,21
imp (phone) - desktop site (phone),0,6,Direct,1,10
imp (phone) - desktop site (tablet) - desktop site (computer),5,0,Indirect,1,1
imp (tablet) - desktop site (phone) - desktop site (tablet),42,0,Indirect,1,1
imp (phone) - mobile site (other) - desktop site (other),4,0,Indirect,1,1
imp (computer),54,0,Indirect,0,1
imp (phone) - desktop site (other) - desktop site (phone),4,0,Indirect,1,1
imp (other) - mobile site (phone) - desktop site (phone),0,1,Direct,1,24
imp (phone) - desktop site (computer),21,0,Indirect,1,7
imp (phone),187,0,Indirect,0,2
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet) - desktop site (computer),2,1,Direct,1,1
imp (phone) - imp (tablet),118,0,Indirect,0,1
imp (phone),197,0,Indirect,0,1
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (tablet) - desktop site (computer),3,0,Indirect,1,2
imp (tablet) - imp (phone) - click (tablet) - mobile site (tablet) - desktop site (tablet),4,6,Direct,1,1
mobile site (phone) - imp (tablet) - imp (phone),3,0,Indirect,0,2
imp (tablet),377,0,Indirect,0,1
imp (phone) - click (phone) - imp (tablet),19,0,Indirect,0,1
imp (other),13,0,Indirect,0,15
imp (tablet) - desktop site (computer) - desktop site (tablet),25,0,Indirect,1,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,21,Direct,1,2
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),1,10,Direct,1,1
imp (phone) - click (phone),3,0,Indirect,0,122
imp (phone) - imp (tablet) - desktop site (phone),6,0,Indirect,1,2
imp (phone) - click (phone) - desktop site (phone),0,9,Direct,1,18
imp (other) - imp (tablet) - imp (phone),14,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,89,Direct,1,1
imp (phone) - mobile site (phone) - desktop site (phone),21,0,Indirect,1,2
imp (phone) - imp (tablet) - imp (other),14,0,Indirect,0,1
imp (tablet),397,0,Indirect,0,2
imp (tablet),210,0,Indirect,0,1
imp (tablet) - desktop site (computer),15,0,Indirect,1,6
imp (phone) - mobile site (phone) - desktop site (phone),13,0,Indirect,1,6
imp (tablet) - desktop site (tablet),0,16,Direct,1,1
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (other),1,0,Indirect,1,2
imp (tablet) - desktop site (tablet),27,0,Indirect,1,3
imp (tablet),113,0,Indirect,0,15
imp (tablet) - click (tablet),51,0,Indirect,0,1
imp (tablet) - imp (phone),14,0,Indirect,0,38
imp (phone) - desktop site (computer),39,0,Indirect,1,7
imp (tablet) - desktop site (tablet),19,0,Indirect,1,3
imp (phone) - click (phone),9,0,Indirect,0,24
imp (tablet) - imp (other) - desktop site (tablet) - desktop site (computer),1,2,Direct,1,1
imp (computer) - imp (tablet),8,0,Indirect,0,1
imp (phone) - click (phone) - desktop site (phone),0,3,Direct,1,136
imp (phone) - click (phone) - desktop site (phone),1,9,Direct,1,1
imp (tablet) - mobile site (tablet) - desktop site (tablet),0,7,Direct,1,4
imp (tablet) - mobile site (phone) - desktop site (tablet),7,0,Indirect,1,1
mobile site (tablet) - imp (tablet),7,0,Indirect,0,1
imp (tablet) - desktop site (tablet),0,34,Direct,1,1
imp (tablet),4,0,Indirect,0,12248
imp (tablet),67,0,Indirect,0,21
imp (tablet) - click (phone),2,0,Indirect,0,1
imp (other),38,0,Indirect,0,1
imp (other) - mobile site (phone) - desktop site (phone),1,0,Indirect,1,10
imp (computer),45,0,Indirect,0,1
imp (phone) - imp (other) - desktop site (phone) - desktop site (computer),27,0,Indirect,1,1
imp (phone),123,0,Indirect,0,8
imp (tablet) - click (tablet) - desktop site (tablet),17,1,Direct,1,1
desktop site (phone) - desktop site (computer) - desktop site (other),0,0,None,1,18
imp (phone),91,0,Indirect,0,12
imp (tablet) - imp (phone),40,0,Indirect,0,8
desktop site (phone) - desktop site (other) - desktop site (computer),0,0,None,1,51
imp (phone) - click (phone) - mobile site (phone),4,0,Indirect,0,1
imp (phone),350,0,Indirect,0,2
imp (tablet) - desktop site (phone) - desktop site (other),1,0,Indirect,1,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),7,18,Direct,1,1
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,6,Direct,1,15
imp (other) - imp (tablet),71,0,Indirect,0,1
imp (tablet) - desktop site (computer),20,0,Indirect,1,6
imp (phone) - mobile site (phone) - desktop site (phone),22,0,Indirect,1,1
imp (phone) - imp (tablet) - desktop site (computer),10,0,Indirect,1,3
imp (tablet) - mobile site (tablet) - desktop site (tablet),0,26,Direct,1,1
imp (tablet) - desktop site (computer) - desktop site (other) - desktop site (tablet),11,0,Indirect,1,1
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet) - desktop site (phone),0,1,Direct,1,1
imp (phone) - imp (tablet) - click (tablet),26,0,Indirect,0,1
imp (phone),213,0,Indirect,0,2
imp (other) - imp (tablet),14,0,Indirect,0,3
desktop site (other) - desktop site (tablet) - desktop site (computer) - desktop site (phone),0,0,None,1,1
imp (phone),372,0,Indirect,0,1
imp (phone) - desktop site (other) - desktop site (computer),1,0,Indirect,1,18
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (computer),3,0,Indirect,1,2
imp (tablet),45,0,Indirect,0,59
imp (computer),21,0,Indirect,0,1
imp (phone) - click (phone) - desktop site (phone),6,15,Direct,1,1
imp (other) - imp (tablet),20,0,Indirect,0,2
mobile site (tablet) - imp (other) - imp (tablet),4,0,Indirect,0,1
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (computer),4,3,Direct,1,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,115,Direct,1,1
imp (tablet) - imp (phone),53,0,Indirect,0,4
imp (other) - click (other) - desktop site (other),0,1,Direct,1,1
imp (tablet) - imp (other),19,0,Indirect,0,2
imp (tablet) - imp (phone),52,0,Indirect,0,7
imp (phone) - imp (tablet),136,0,Indirect,0,1
imp (other) - imp (phone) - desktop site (phone),1,1,Direct,1,1
imp (tablet) - desktop site (phone) - desktop site (computer),4,0,Indirect,1,1
imp (phone) - imp (tablet) - click (phone),8,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,4,Direct,1,64
imp (phone) - click (phone) - imp (tablet),68,0,Indirect,0,1
imp (phone) - desktop site (phone),7,2,Direct,1,1
imp (tablet) - click (tablet),11,0,Indirect,0,6
imp (phone) - desktop site (phone) - desktop site (computer),1,0,Indirect,1,38
imp (tablet) - desktop site (phone),6,0,Indirect,1,3
imp (phone) - desktop site (tablet) - desktop site (computer),6,0,Indirect,1,1
imp (phone) - imp (tablet) - click (phone) - mobile site (phone) - desktop site (phone),11,10,Direct,1,1
imp (tablet) - imp (phone) - desktop site (computer) - desktop site (phone),23,0,Indirect,1,1
imp (phone) - mobile site (phone) - click (phone) - desktop site (phone),0,8,Direct,1,3
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,34,Direct,1,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),6,26,Direct,1,1
imp (tablet),463,0,Indirect,0,1
imp (phone) - desktop site (tablet),43,0,Indirect,1,1
imp (phone) - imp (tablet),34,0,Indirect,0,4
imp (tablet) - desktop site (tablet),35,0,Indirect,1,1
imp (phone) - imp (tablet) - click (phone),15,0,Indirect,0,1
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,149,Direct,1,1
imp (tablet),146,0,Indirect,0,9
imp (tablet) - click (other) - mobile site (tablet) - desktop site (tablet),4,0,Indirect,1,1
imp (other) - imp (tablet) - imp (phone),6,0,Indirect,0,2
imp (tablet) - imp (phone),88,0,Indirect,0,2
imp (phone),130,0,Indirect,0,5
imp (phone) - imp (tablet),8,0,Indirect,0,156
imp (phone),121,0,Indirect,0,7
imp (phone) - imp (tablet) - desktop site (other),2,0,Indirect,1,1
imp (phone) - imp (tablet) - mobile site (phone) - desktop site (phone),5,0,Indirect,1,3
imp (phone) - desktop site (tablet) - desktop site (computer) - desktop site (phone),1,0,Indirect,1,3
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),53,0,Indirect,1,1
imp (phone) - desktop site (computer),54,0,Indirect,1,2
imp (tablet),654,0,Indirect,0,1
imp (tablet) - imp (other),53,0,Indirect,0,1
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,54,Direct,1,1
imp (tablet) - imp (phone),7,0,Indirect,0,163
imp (phone) - imp (tablet),52,0,Indirect,0,5
mobile site (phone) - imp (phone) - desktop site (computer),2,0,Indirect,1,1
imp (phone) - click (phone) - desktop site (phone),0,22,Direct,1,4
imp (phone) - desktop site (tablet),238,0,Indirect,1,1
imp (tablet) - desktop site (tablet),0,24,Direct,1,1
imp (tablet) - desktop site (computer),6,0,Indirect,1,38
imp (tablet) - imp (other),8,0,Indirect,0,11
imp (phone) - mobile site (computer) - desktop site (computer),12,0,Indirect,1,1
imp (tablet),507,0,Indirect,0,1
imp (tablet),88,0,Indirect,0,17
imp (tablet) - desktop site (tablet),1,1,Direct,1,2
click (phone),0,0,None,0,22
imp (phone) - imp (tablet) - click (tablet),49,0,Indirect,0,1
imp (tablet) - desktop site (other) - desktop site (computer) - desktop site (tablet),1,0,Indirect,1,1
imp (phone) - imp (other) - imp (tablet),7,0,Indirect,0,1
imp (phone) - mobile site (phone) - click (phone) - desktop site (phone),0,36,Direct,1,1
imp (phone) - desktop site (computer),75,0,Indirect,1,1
imp (phone) - click (phone),19,0,Indirect,0,6
imp (phone) - click (phone) - desktop site (other) - desktop site (phone),1,0,Indirect,1,1
imp (tablet),35,0,Indirect,0,133
imp (phone),159,0,Indirect,0,3
imp (phone) - click (phone) - desktop site (phone),0,35,Direct,1,1
imp (phone) - click (phone) - desktop site (phone) - desktop site (computer),0,7,Direct,1,2
imp (tablet) - imp (computer),3,0,Indirect,0,5
imp (tablet) - click (tablet),18,0,Indirect,0,1
imp (tablet) - imp (phone),34,0,Indirect,0,14
imp (tablet),73,0,Indirect,0,23
mobile site (other) - desktop site (phone),0,0,None,1,281
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),24,1,Direct,1,1
imp (tablet) - desktop site (other),5,0,Indirect,1,1
imp (tablet),56,0,Indirect,0,44
imp (phone) - desktop site (phone) - desktop site (computer),33,1,Direct,1,1
imp (tablet) - mobile site (tablet) - desktop site (tablet) - desktop site (computer),1,0,Indirect,1,3
imp (tablet) - desktop site (phone) - desktop site (tablet) - desktop site (computer),1,0,Indirect,1,2
imp (other) - mobile site (other) - desktop site (other),0,2,Direct,1,3
imp (phone),896,0,Indirect,0,1
imp (computer) - click (computer),1,0,Indirect,0,1
imp (tablet),208,0,Indirect,0,2
imp (tablet) - desktop site (computer) - desktop site (phone),4,0,Indirect,1,1
imp (phone) - click (phone),70,0,Indirect,0,1
imp (tablet) - click (tablet) - desktop site (tablet),0,24,Direct,1,1
imp (tablet) - desktop site (tablet),0,5,Direct,1,12
imp (phone) - desktop site (tablet) - desktop site (computer),28,0,Indirect,1,1
imp (tablet),106,0,Indirect,0,11
imp (tablet),381,0,Indirect,0,2
imp (tablet) - imp (phone) - click (phone) - desktop site (phone),1,3,Direct,1,1
imp (tablet) - desktop site (computer) - desktop site (tablet),7,0,Indirect,1,1
imp (tablet) - imp (phone),46,0,Indirect,0,6
imp (other),25,0,Indirect,0,1
imp (tablet) - mobile site (tablet) - desktop site (tablet),4,0,Indirect,1,2
imp (tablet) - imp (phone) - desktop site (computer),4,0,Indirect,1,6
imp (tablet),404,0,Indirect,0,1
imp (tablet) - click (tablet) - desktop site (tablet),0,55,Direct,1,1
imp (tablet) - mobile site (other) - desktop site (other),2,0,Indirect,1,1
imp (tablet),188,0,Indirect,0,3
imp (tablet) - imp (phone) - click (tablet) - mobile site (tablet) - desktop site (tablet),2,85,Direct,1,1
imp (tablet) - desktop site (phone) - desktop site (tablet),1,0,Indirect,1,7
imp (tablet),204,0,Indirect,0,3
imp (tablet),87,0,Indirect,0,12
imp (phone) - imp (other),34,0,Indirect,0,1
imp (other) - imp (tablet),41,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone),8,0,Indirect,0,1
imp (tablet) - desktop site (computer) - desktop site (tablet),29,0,Indirect,1,1
imp (tablet) - mobile site (tablet) - desktop site (tablet),13,0,Indirect,1,1
imp (other) - desktop site (computer) - desktop site (phone),1,0,Indirect,1,1
imp (other),4,0,Indirect,0,268
imp (phone) - desktop site (tablet),4,0,Indirect,1,32
imp (tablet),176,0,Indirect,0,3
imp (tablet),355,0,Indirect,0,2
imp (tablet) - imp (phone) - mobile site (other) - desktop site (other) - desktop site (tablet),16,0,Indirect,1,1
imp (tablet),155,0,Indirect,0,1
imp (phone) - imp (tablet),10,0,Indirect,0,108
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,12,Direct,1,5
imp (phone),1045,0,Indirect,0,1
imp (tablet) - click (tablet) - desktop site (tablet),2,12,Direct,1,1
imp (phone) - mobile site (tablet) - desktop site (tablet),1,0,Indirect,1,79
imp (tablet),122,0,Indirect,0,11
imp (phone),212,0,Indirect,0,2
imp (phone) - imp (tablet) - click (tablet),12,0,Indirect,0,1
imp (phone) - mobile site (phone),3,0,Indirect,0,13
mobile site (phone) - desktop site (tablet) - desktop site (other) - desktop site (computer) - desktop site (phone),0,0,None,1,1
imp (phone) - click (phone) - desktop site (phone),3,4,Direct,1,2
imp (phone) - desktop site (tablet),13,0,Indirect,1,8
imp (tablet) - mobile site (phone) - desktop site (phone) - desktop site (tablet),7,0,Indirect,1,1
imp (computer),14,0,Indirect,0,8
imp (tablet) - desktop site (tablet) - desktop site (other),1,0,Indirect,1,1
imp (phone) - imp (tablet),28,0,Indirect,0,11
imp (tablet) - click (tablet) - imp (phone),4,0,Indirect,0,1
imp (tablet) - imp (phone),113,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (tablet) - desktop site (tablet),1,0,Indirect,1,1
imp (tablet),5496,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),4,19,Direct,1,1
imp (phone),265,0,Indirect,0,3
imp (tablet) - click (tablet),112,0,Indirect,0,1
imp (phone),178,0,Indirect,0,1
imp (tablet) - mobile site (other) - desktop site (other),1,0,Indirect,1,5
mobile site (other) - mobile site (tablet) - desktop site (tablet) - desktop site (other),0,0,None,1,1
imp (phone) - desktop site (other),7,0,Indirect,1,3
desktop site (other) - desktop site (computer) - desktop site (tablet) - desktop site (phone),0,0,None,1,1
imp (tablet) - desktop site (phone),72,0,Indirect,1,1
imp (tablet) - click (tablet),22,0,Indirect,0,6
imp (tablet) - click (tablet) - desktop site (tablet),11,3,Direct,1,1
imp (phone),167,0,Indirect,0,3
imp (tablet) - desktop site (tablet),10,0,Indirect,1,6
imp (phone) - mobile site (phone) - desktop site (phone),0,28,Direct,1,1
imp (tablet) - imp (phone),27,0,Indirect,0,12
imp (phone) - click (phone),31,0,Indirect,0,3
imp (tablet) - desktop site (phone) - desktop site (other) - desktop site (computer),4,0,Indirect,1,1
imp (tablet),434,0,Indirect,0,1
imp (tablet),7,0,Indirect,0,3587
imp (phone) - mobile site (other) - desktop site (other),3,0,Indirect,1,3
imp (other) - imp (phone),53,0,Indirect,0,1
imp (tablet) - click (tablet),109,0,Indirect,0,1
imp (phone) - imp (other),114,0,Indirect,0,1
imp (tablet) - click (tablet) - desktop site (tablet),0,18,Direct,1,5
desktop site (computer) - desktop site (tablet) - desktop site (phone) - desktop site (other),0,0,None,1,2
imp (tablet) - desktop site (tablet),24,0,Indirect,1,2
imp (computer) - imp (tablet),6,0,Indirect,0,1
imp (phone) - desktop site (other) - desktop site (phone),3,0,Indirect,1,1
imp (phone) - desktop site (phone),0,17,Direct,1,1
imp (tablet) - imp (phone) - mobile site (phone) - desktop site (phone),58,0,Indirect,1,1
imp (tablet),295,0,Indirect,0,1
imp (tablet) - click (tablet) - desktop site (tablet) - desktop site (phone),0,17,Direct,1,1
imp (tablet) - imp (phone),43,0,Indirect,0,5
imp (tablet) - mobile site (tablet) - desktop site (tablet),5,0,Indirect,1,5
imp (tablet),219,0,Indirect,0,1
imp (phone) - desktop site (computer),132,0,Indirect,1,1
imp (phone) - click (phone) - desktop site (phone),12,24,Direct,1,1
imp (tablet) - imp (phone) - mobile site (phone) - desktop site (phone),12,0,Indirect,1,1
imp (phone) - click (phone) - desktop site (phone),0,64,Direct,1,1
imp (phone) - mobile site (phone) - desktop site (computer),4,0,Indirect,1,2
imp (phone) - imp (tablet) - desktop site (phone),42,0,Indirect,1,1
imp (phone) - click (phone),5,0,Indirect,0,55
imp (tablet) - click (tablet),78,0,Indirect,0,2
imp (tablet),64,0,Indirect,0,46
imp (phone) - imp (other),9,0,Indirect,0,5
imp (phone),253,0,Indirect,0,1
imp (tablet),480,0,Indirect,0,1
imp (tablet),174,0,Indirect,0,1
imp (phone) - desktop site (computer) - desktop site (phone),30,0,Indirect,1,1
imp (computer) - imp (phone),4,0,Indirect,0,1
imp (phone),84,0,Indirect,0,25
imp (phone) - mobile site (phone),1,0,Indirect,0,53
imp (tablet) - click (tablet),120,0,Indirect,0,1
imp (phone),222,0,Indirect,0,1
imp (phone),201,0,Indirect,0,2
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (other) - desktop site (computer),2,0,Indirect,1,1
imp (phone),274,0,Indirect,0,1
imp (tablet) - imp (phone),1243,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),3,3,Direct,1,1
imp (tablet) - click (tablet) - desktop site (tablet),0,38,Direct,1,1
imp (other) - imp (phone) - imp (tablet),9,0,Indirect,0,1
imp (phone) - mobile site (tablet),13,0,Indirect,0,1
imp (other) - imp (tablet) - desktop site (tablet) - desktop site (phone),2,0,Indirect,1,1
imp (phone) - desktop site (tablet),35,0,Indirect,1,2
imp (phone) - imp (other),13,0,Indirect,0,2
imp (tablet) - click (tablet) - desktop site (tablet),0,22,Direct,1,4
imp (phone),77,0,Indirect,0,28
imp (phone),23,0,Indirect,0,440
imp (tablet) - imp (phone),4,0,Indirect,0,463
imp (phone) - mobile site (phone) - click (phone) - desktop site (phone),0,12,Direct,1,2
imp (phone) - imp (tablet),51,0,Indirect,0,2
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),1,2,Direct,1,2
imp (tablet) - imp (other),16,0,Indirect,0,3
mobile site (other) - mobile site (tablet) - desktop site (tablet),0,0,None,1,2
imp (phone),798,0,Indirect,0,1
imp (phone) - click (phone) - desktop site (phone),1,24,Direct,1,1
mobile site (tablet) - imp (tablet),2,0,Indirect,0,3
imp (phone),572,0,Indirect,0,1
imp (tablet) - imp (phone) - click (phone),26,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),5,2,Direct,1,1
imp (phone) - mobile site (other) - desktop site (other),14,0,Indirect,1,1
imp (phone) - desktop site (computer),19,0,Indirect,1,8
imp (tablet) - mobile site (tablet),5,0,Indirect,0,1
imp (tablet),107,0,Indirect,0,9
imp (tablet) - imp (phone) - desktop site (tablet),3,0,Indirect,1,7
imp (phone) - desktop site (other) - desktop site (phone),7,0,Indirect,1,1
imp (phone) - mobile site (phone) - desktop site (phone),78,1,Direct,1,1
imp (tablet),108,0,Indirect,0,8
desktop site (tablet) - desktop site (phone) - desktop site (other),0,0,None,1,3
imp (phone) - click (phone) - desktop site (phone),1,134,Direct,1,1
imp (tablet) - click (tablet) - desktop site (tablet),0,17,Direct,1,6
imp (phone),57,0,Indirect,0,36
mobile site (phone) - imp (tablet),2,0,Indirect,0,5
imp (tablet) - click (tablet),74,0,Indirect,0,1
imp (other) - mobile site (tablet) - desktop site (tablet),1,0,Indirect,1,1
imp (tablet) - mobile site (tablet),3,0,Indirect,0,1
imp (phone) - imp (tablet) - click (tablet),3,0,Indirect,0,1
imp (other) - imp (phone) - imp (tablet) - desktop site (phone),10,0,Indirect,1,1
imp (other),5,0,Indirect,0,122
imp (tablet) - desktop site (computer),17,0,Indirect,1,5
imp (tablet),329,0,Indirect,0,2
imp (tablet) - desktop site (computer) - desktop site (tablet),8,0,Indirect,1,1
imp (phone) - click (phone) - desktop site (phone) - desktop site (computer),0,10,Direct,1,1
imp (phone),28,0,Indirect,0,260
imp (phone) - desktop site (other) - desktop site (computer) - desktop site (tablet),2,0,Indirect,1,1
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,56,Direct,1,1
imp (phone) - mobile site (phone) - desktop site (phone),4,0,Indirect,1,45
imp (tablet) - imp (phone) - click (phone) - desktop site (phone),3,9,Direct,1,1
imp (tablet),115,0,Indirect,0,9
imp (tablet) - click (tablet) - desktop site (tablet),23,0,Indirect,1,1
mobile site (other) - desktop site (other) - desktop site (computer) - desktop site (phone),0,0,None,1,6
imp (phone) - imp (other),4,0,Indirect,0,27
imp (phone) - click (phone) - desktop site (phone),0,63,Direct,1,1
mobile site (phone) - imp (phone),5,0,Indirect,0,9
imp (phone) - click (phone) - desktop site (phone),2,69,Direct,1,1
imp (tablet) - imp (other) - desktop site (computer),5,0,Indirect,1,1
imp (other) - mobile site (other) - desktop site (other) - desktop site (tablet),0,1,Direct,1,1
imp (tablet) - imp (other),70,0,Indirect,0,1
imp (phone) - click (phone),110,0,Indirect,0,1
mobile site (phone) - imp (phone) - desktop site (phone),7,0,Indirect,1,1
imp (tablet),451,0,Indirect,0,1
mobile site (phone) - imp (phone),10,0,Indirect,0,1
imp (phone) - desktop site (other) - desktop site (computer),3,0,Indirect,1,4
imp (phone) - imp (other) - imp (tablet),16,0,Indirect,0,1
imp (tablet),207,0,Indirect,0,3
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),5,3,Direct,1,1
imp (phone) - mobile site (tablet) - desktop site (tablet) - desktop site (phone),10,0,Indirect,1,1
imp (phone) - mobile site (phone) - desktop site (phone),4,5,Direct,1,1
imp (phone) - imp (tablet) - desktop site (tablet),3,4,Direct,1,1
imp (phone) - imp (tablet),65,0,Indirect,0,4
imp (phone) - desktop site (computer),74,0,Indirect,1,1
imp (tablet) - desktop site (phone),53,0,Indirect,1,1
imp (tablet) - desktop site (computer),58,0,Indirect,1,2
imp (phone) - click (phone) - desktop site (phone),33,2,Direct,1,1
imp (tablet) - mobile site (phone) - desktop site (phone),16,0,Indirect,1,1
imp (phone) - desktop site (computer) - desktop site (phone),17,0,Indirect,1,1
imp (phone) - desktop site (phone),47,0,Indirect,1,1
imp (tablet),18,0,Indirect,0,568
imp (phone) - mobile site (tablet) - desktop site (tablet) - desktop site (phone),3,0,Indirect,1,1
mobile site (tablet) - imp (tablet),5,0,Indirect,0,3
imp (tablet) - desktop site (phone),39,0,Indirect,1,2
imp (tablet) - imp (other),7,0,Indirect,0,9
imp (phone) - imp (tablet) - mobile site (phone) - desktop site (phone) - desktop site (computer),6,0,Indirect,1,1
desktop site (computer) - desktop site (phone) - desktop site (other) - desktop site (tablet),0,0,None,1,1
imp (phone) - desktop site (other),57,0,Indirect,1,1
imp (phone) - desktop site (computer),4,0,Indirect,1,202
imp (tablet),211,0,Indirect,0,3
imp (tablet) - desktop site (tablet),0,2,Direct,1,101
imp (phone) - mobile site (other) - desktop site (other),1,0,Indirect,1,15
imp (phone) - click (phone),83,0,Indirect,0,1
imp (phone) - desktop site (other) - desktop site (phone),1,0,Indirect,1,9
imp (phone) - imp (tablet),236,0,Indirect,0,1
imp (phone) - desktop site (computer) - desktop site (tablet),8,0,Indirect,1,1
imp (tablet) - click (tablet) - desktop site (tablet),0,15,Direct,1,4
imp (computer) - imp (phone),19,0,Indirect,0,2
imp (phone),206,0,Indirect,0,1
imp (phone),93,0,Indirect,0,19
imp (phone),600,0,Indirect,0,1
imp (tablet) - desktop site (tablet),6,0,Indirect,1,16
imp (phone) - imp (tablet),48,0,Indirect,0,3
imp (tablet) - desktop site (tablet),0,3,Direct,1,26
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),8,0,Indirect,1,1
imp (tablet) - desktop site (tablet),18,0,Indirect,1,6
imp (other) - desktop site (other),0,1,Direct,1,7
imp (tablet) - imp (phone) - desktop site (tablet),2,0,Indirect,1,5
imp (other),14,0,Indirect,0,14
mobile site (other) - desktop site (tablet) - desktop site (other),0,0,None,1,3
imp (other) - imp (tablet),99,0,Indirect,0,1
mobile site (phone) - imp (phone) - desktop site (computer),1,0,Indirect,1,2
mobile site (tablet) - mobile site (phone),0,0,None,0,3
imp (phone) - imp (tablet),63,0,Indirect,0,3
imp (tablet) - imp (phone),50,0,Indirect,0,4
imp (phone) - desktop site (tablet) - desktop site (computer),20,0,Indirect,1,1
imp (computer),106,0,Indirect,0,1
imp (other) - click (other) - mobile site (other) - desktop site (other),0,1,Direct,1,5
imp (phone),308,0,Indirect,0,1
imp (phone) - desktop site (tablet),74,0,Indirect,1,1
imp (phone),111,0,Indirect,0,7
